rev_id,worker_id,aggression,aggression_score
808184,11,0.0,0.0
808184,62,0.0,0.0
2279790,11,0.0,0.0
2279790,62,0.0,0.0
5262377,11,0.0,0.0
5262377,62,0.0,0.0
14279177,11,0.0,0.0
14279177,62,0.0,0.0
15229582,11,0.0,0.0
15229582,62,0.0,0.0
20545661,11,0.0,0.0
20545661,62,0.0,0.0
21049821,62,1.0,-1.0
21049821,11,1.0,-1.0
33339158,11,1.0,-3.0
33339158,62,1.0,-1.0
34581073,11,1.0,-3.0
34581073,62,1.0,-2.0
37648214,11,0.0,0.0
37648214,62,0.0,0.0
40922741,62,0.0,0.0
40922741,11,0.0,0.0
50887213,11,0.0,0.0
50887213,62,0.0,0.0
65219158,11,1.0,-2.0
65219158,62,1.0,-2.0
69118645,11,0.0,0.0
69118645,62,0.0,0.0
76167539,62,0.0,0.0
76167539,11,0.0,0.0
78103650,62,1.0,-1.0
78103650,11,1.0,-1.0
94536697,11,0.0,0.0
94536697,62,0.0,0.0
94692412,11,0.0,0.0
94692412,62,0.0,0.0
115327686,62,0.0,0.0
115327686,11,0.0,0.0
124724548,62,0.0,0.0
124724548,11,0.0,0.0
135504167,11,0.0,0.0
135504167,62,0.0,0.0
154700899,62,0.0,0.0
154700899,11,0.0,0.0
155289566,11,0.0,0.0
155289566,62,0.0,0.0
156756842,11,0.0,0.0
156756842,62,0.0,0.0
171833841,11,0.0,0.0
171833841,62,0.0,0.0
217446727,62,0.0,0.0
217446727,11,0.0,0.0
225153415,62,0.0,0.0
225153415,11,0.0,0.0
237700750,62,0.0,0.0
237700750,11,0.0,0.0
245455198,62,0.0,0.0
245455198,11,0.0,0.0
274289882,62,0.0,1.0
274289882,11,0.0,0.0
295814727,11,0.0,0.0
295814727,62,0.0,0.0
305098131,11,0.0,0.0
305098131,62,0.0,0.0
307323126,11,0.0,0.0
307323126,62,0.0,0.0
310475823,11,0.0,0.0
310475823,62,0.0,0.0
326347581,11,0.0,0.0
326347581,62,0.0,0.0
337181038,62,0.0,0.0
337181038,11,0.0,0.0
338529525,62,0.0,0.0
338529525,11,1.0,-1.0
338884314,11,1.0,-1.0
338884314,62,0.0,0.0
339265369,62,0.0,0.0
339265369,11,1.0,-1.0
340830128,62,1.0,-1.0
340830128,11,0.0,0.0
365823628,11,0.0,0.0
365823628,62,0.0,0.0
366234330,62,0.0,0.0
366234330,11,0.0,0.0
368690261,11,1.0,-1.0
368690261,62,1.0,-1.0
371418836,11,0.0,0.0
371418836,62,0.0,0.0
377295949,11,0.0,0.0
377295949,62,0.0,0.0
381666842,62,0.0,0.0
381666842,11,0.0,0.0
394397334,11,0.0,0.0
394397334,62,0.0,0.0
407657379,11,0.0,0.0
407657379,62,0.0,0.0
422461113,11,0.0,0.0
422461113,62,0.0,0.0
430912604,62,0.0,0.0
430912604,11,1.0,-1.0
443892843,11,0.0,0.0
443892843,62,0.0,0.0
453266718,62,0.0,0.0
453266718,11,0.0,0.0
455820274,62,1.0,-1.0
455820274,11,1.0,-1.0
461816982,11,0.0,0.0
461816982,62,0.0,0.0
464451830,11,1.0,-2.0
464451830,62,1.0,-2.0
468336653,62,1.0,-1.0
468336653,11,1.0,-2.0
473061258,11,0.0,1.0
473061258,62,0.0,0.0
498782999,11,0.0,0.0
498782999,62,0.0,0.0
509702132,62,1.0,-2.0
509702132,11,0.0,0.0
554528545,11,0.0,0.0
554528545,62,0.0,0.0
556199651,62,0.0,0.0
556199651,11,0.0,0.0
575250887,62,0.0,0.0
575250887,11,0.0,0.0
583906128,62,0.0,0.0
583906128,11,0.0,0.0
595384892,62,0.0,0.0
595384892,11,0.0,0.0
610330421,11,0.0,0.0
610330421,62,0.0,0.0
635749086,11,0.0,0.0
635749086,62,0.0,0.0
636350437,11,0.0,0.0
636350437,62,0.0,0.0
645195393,62,0.0,0.0
645195393,11,0.0,0.0
651950688,11,0.0,0.0
651950688,62,0.0,0.0
656790174,62,0.0,0.0
656790174,11,0.0,0.0
684761697,11,0.0,0.0
684761697,62,0.0,0.0
693773771,62,0.0,0.0
693773771,11,0.0,0.0
697050312,62,1.0,-1.0
697050312,11,1.0,-1.0
699667660,62,0.0,0.0
699667660,11,0.0,0.0
